name,firstLineAddress,cityName,stateName
Austin's Pizza,7301 N Fm 620,Austin,TX
Lucky's Pub,801 Saint Emanuel St,Houston,TX
Uncle John's Pizza,3480 S Carrier Pkwy,Grand Prairie,TX
Luke's Locker,9595 Six Pines Dr,Spring,TX
California Pizza Kitchen,3401 Esperanza Xing,Austin,TX
Atheneos Greek Village Cafe,1425 Gross Rd,Mesquite,TX
Doubledave's Pizza Works,3505 A Longmire Dr,College Station,TX
Bosses Pizza - Keller,201 N Main St,Keller,TX
Doubledave's Pizzaworks,401 E Whitestone Blvd,Cedar Park,TX
Little Caesars Pizza,2619 Red Bluff Kroger Jct,Pasadena,TX
Brio Tuscan Grille - Southlake - Southlake Town Square,1431 Plaza Pl,Southlake,TX
